"","car_brand","car_model","car_name","production_year","body_type","drive_wheels","engine_displacement","number_of_cylinders","transmission_type","horse_power","fuel_type","seat_capacity","price_new"
"38","HONDA","FIT","HONDA FIT",2010,"Hatchback","FWD",1.3,4,"automatic",98,"hybrid",5,23920
"39","HYUNDAI","Elantra","HYUNDAI Elantra",2012,"Sedan","FWD",1.6,4,"automatic",120,"petrol",5,29380
"40","LEXUS","RX 450","LEXUS RX 450",2010,"SUV","AWD",3.5,6,"automatic",262,"hybrid",5,45540
"41","TOYOTA","Camry","TOYOTA Camry",2013,"Sedan","FWD",2.4,4,"automatic",180,"petrol",5,32704
"42","HYUNDAI","H1","HYUNDAI H1",2016,"Wagon","FWD",2.5,4,"automatic",188,"diesel",5,31174
"43","VOLKSWAGEN","Jetta","VOLKSWAGEN Jetta",2016,"Sedan","FWD",2,4,"tiptronic",150,"petrol",5,28340
"44","HYUNDAI","Sonata","HYUNDAI Sonata",2014,"Sedan","FWD",2.4,4,"tiptronic",180,"hybrid",5,32412
"45","PORSCHE","Cayenne","PORSCHE Cayenne",2010,"SUV","AWD",3.6,6,"automatic",270,"petrol",5,46000
"46","TOYOTA","Tacoma","TOYOTA Tacoma",2013,"SUV","AWD",4,6,"automatic",300,"petrol",5,46592
"47","TOYOTA","Prius C","TOYOTA Prius C",2012,"Hatchback","FWD",1.5,4,"variator",112,"hybrid",5,24408
"48","HYUNDAI","Santa FE","HYUNDAI Santa FE",2017,"SUV","FWD",2,4,"automatic",150,"diesel",5,36288
"49","TOYOTA","Aqua","TOYOTA Aqua",2012,"Hatchback","FWD",1.5,4,"automatic",112,"hybrid",5,24408
"50","FORD","Escape Hybrid","FORD Escape Hybrid",2008,"SUV","AWD",2.3,4,"variator",172,"hybrid",5,40716
"51","HONDA","Civic","HONDA Civic",2016,"Sedan","FWD",2,4,"automatic",150,"petrol",5,30084
"52","AUDI","Q7","AUDI Q7",2015,"SUV","AWD",3,6,"automatic",225,"petrol",5,41360
"53","RENAULT","Megane 1.5CDI","RENAULT Megane 1.5CDI",2008,"Sedan","FWD",2,4,"manual",150,"diesel",5,30420
"54","MERCEDES-BENZ","E 300","MERCEDES-BENZ E 300",2017,"Sedan","RWD",2,4,"automatic",150,"petrol",5,29808
"55","AUDI","Q5","AUDI Q5",2014,"SUV","AWD",2,1,"tiptronic",150,"petrol",5,37296
"56","MERCEDES-BENZ","C 180","MERCEDES-BENZ C 180",2001,"Coupe","RWD",2,4,"manual",150,"petrol",4,36704
"57","MERCEDES-BENZ","GLA 250","MERCEDES-BENZ GLA 250",2019,"SUV","AWD",2.5,4,"tiptronic",188,"petrol",5,33920
"58","NISSAN","Juke","NISSAN Juke",2015,"SUV","AWD",1.6,4,"automatic",120,"petrol",5,35200
"59","BMW","535","BMW 535",2012,"Sedan","RWD",3,6,"automatic",225,"petrol",5,35708
"60","CHEVROLET","Cruze LT","CHEVROLET Cruze LT",2018,"Sedan","FWD",2,4,"automatic",150,"petrol",5,27820
"61","FORD","Fusion","FORD Fusion",2013,"Sedan","FWD",2,4,"tiptronic",150,"petrol",5,29120
"62","TOYOTA","VOXY","TOYOTA VOXY",2007,"Minivan","FWD",2.4,4,"automatic",180,"petrol",5,39176
"63","NISSAN","Juke","NISSAN Juke",2013,"SUV","FWD",1.6,4,"automatic",120,"petrol",5,35840
"64","MERCEDES-BENZ","A 160","MERCEDES-BENZ A 160",2004,"Sedan","FWD",1.6,4,"tiptronic",120,"petrol",5,31460
"65","HYUNDAI","Tucson","HYUNDAI Tucson",2013,"SUV","FWD",2,4,"automatic",150,"diesel",5,37632
"66","HYUNDAI","Sonata","HYUNDAI Sonata",2015,"Sedan","FWD",2,4,"automatic",150,"lpg",5,30360
"67","HYUNDAI","H1","HYUNDAI H1",2014,"Minivan","FWD",2.5,4,"automatic",188,"diesel",5,37296
"68","HYUNDAI","H1","HYUNDAI H1",2016,"Minivan","FWD",2.5,4,"automatic",188,"diesel",5,36624
"69","TOYOTA","Camry","TOYOTA Camry",2013,"Sedan","FWD",2.5,4,"automatic",188,"hybrid",5,33152
"70","TOYOTA","Vitz","TOYOTA Vitz",2001,"Hatchback","FWD",1.5,4,"manual",112,"petrol",5,26784
"71","HYUNDAI","H1","HYUNDAI H1",2015,"Wagon","FWD",2.5,4,"automatic",188,"diesel",5,31460
"72","CHEVROLET","Captiva","CHEVROLET Captiva",2011,"SUV","FWD",2.2,4,"automatic",165,"diesel",5,39216
"73","HYUNDAI","H1","HYUNDAI H1",2017,"Wagon","FWD",2.5,4,"automatic",188,"diesel",5,30888
"74","HYUNDAI","Santa FE","HYUNDAI Santa FE",2016,"SUV","FWD",2,4,"automatic",150,"diesel",5,36624
"75","TOYOTA","Prius","TOYOTA Prius",2011,"Hatchback","FWD",1.8,4,"automatic",135,"hybrid",5,25992
"76","FORD","Mustang","FORD Mustang",2016,"Sedan","RWD",2,4,"tiptronic",150,"petrol",5,28340
"77","MERCEDES-BENZ","ML 350","MERCEDES-BENZ ML 350",2014,"SUV","RWD",3.5,6,"automatic",262,"petrol",5,43956
"78","TOYOTA","Prius","TOYOTA Prius",2012,"Sedan","FWD",1.8,4,"automatic",135,"petrol",5,30284
"79","LEXUS","GX 470","LEXUS GX 470",2008,"SUV","AWD",4.7,8,"automatic",352,"petrol",5,51948
"80","FORD","Escape","FORD Escape",2009,"SUV","FWD",2.5,4,"automatic",188,"hybrid",5,41296
"81","TOYOTA","Highlander","TOYOTA Highlander",2010,"SUV","AWD",3.3,6,"automatic",248,"hybrid",5,44620
"82","TOYOTA","Yaris","TOYOTA Yaris",2019,"Sedan","FWD",1.5,4,"automatic",112,"petrol",5,27136
"83","HONDA","Civic","HONDA Civic",2014,"Sedan","AWD",1.4,8,"automatic",105,"hybrid",5,27972
"84","HONDA","Cr-v","HONDA Cr-v",1998,"SUV","AWD",2,4,"automatic",150,"petrol",5,42672
"85","TOYOTA","Camry","TOYOTA Camry",2012,"Sedan","FWD",2.5,4,"automatic",188,"petrol",5,33448
"86","HYUNDAI","Elantra","HYUNDAI Elantra",2012,"Sedan","FWD",1.6,4,"automatic",120,"petrol",5,29380
"87","HYUNDAI","Santa FE","HYUNDAI Santa FE",2014,"SUV","FWD",2,4,"automatic",150,"diesel",5,37296
"88","HONDA","FIT","HONDA FIT",2012,"Hatchback","FWD",1.3,4,"tiptronic",98,"hybrid",5,23504
"89","CHEVROLET","Cruze","CHEVROLET Cruze",2010,"Sedan","FWD",1.8,4,"automatic",135,"petrol",5,30820
"90","CHEVROLET","Orlando","CHEVROLET Orlando",2012,"SUV","FWD",2,4,"automatic",150,"diesel",5,37968
"91","MERCEDES-BENZ","GL 63 AMG","MERCEDES-BENZ GL 63 AMG",2014,"SUV","AWD",5.5,8,"automatic",412,"petrol",5,52836
"92","BMW","520 Vanos","BMW 520 Vanos",1995,"Sedan","RWD",2,6,"manual",150,"petrol",5,35880
"93","SUBARU","Forester","SUBARU Forester",2012,"SUV","AWD",2.5,4,"automatic",188,"petrol",5,40228
"94","DAEWOO","Lacetti","DAEWOO Lacetti",2008,"Sedan","FWD",2,4,"automatic",150,"petrol",5,32292
"95","HYUNDAI","Elantra","HYUNDAI Elantra",2016,"Sedan","FWD",2,4,"tiptronic",150,"petrol",5,30084
"96","BMW","428 Sport Line","BMW 428 Sport Line",2013,"Coupe","RWD",2,4,"automatic",150,"petrol",4,31360
"97","NISSAN","Patrol","NISSAN Patrol",1990,"SUV","RWD",2.5,4,"manual",188,"diesel",5,43200
"98","HONDA","Civic","HONDA Civic",1997,"Hatchback","FWD",1.4,4,"manual",105,"petrol",5,27136
"99","MERCEDES-BENZ","E 320","MERCEDES-BENZ E 320",2004,"Sedan","RWD",3.2,6,"tiptronic",240,"petrol",5,39204
"100","HYUNDAI","Genesis","HYUNDAI Genesis",2009,"Coupe","FWD",2,4,"automatic",150,"petrol",4,34336
"101","CHEVROLET","Cruze","CHEVROLET Cruze",2014,"Sedan","FWD",1.4,4,"automatic",105,"petrol",5,27972
"102","PORSCHE","911","PORSCHE 911",2013,"Coupe","RWD",3.8,6,"automatic",285,"petrol",4,41216
"103","FORD","Fusion","FORD Fusion",2015,"Sedan","FWD",2,4,"automatic",150,"hybrid",5,30360
"104","LEXUS","GX 460","LEXUS GX 460",2010,"SUV","AWD",4.6,8,"automatic",345,"petrol",5,50600
"105","MERCEDES-BENZ","Sprinter","MERCEDES-BENZ Sprinter",2004,"Minivan","RWD",2.4,4,"manual",180,"diesel",5,36300
"106","TOYOTA","Prius","TOYOTA Prius",2007,"Hatchback","FWD",1.5,4,"automatic",112,"petrol",5,25488
"107","FORD","Focus SE","FORD Focus SE",2015,"Sedan","FWD",2,4,"automatic",150,"petrol",5,30360
"108","BMW","X5","BMW X5",2013,"SUV","AWD",3,6,"automatic",225,"diesel",5,42112
"109","BMW","535","BMW 535",2013,"Sedan","RWD",3,6,"automatic",225,"hybrid",5,35392
"110","KIA","Picanto","KIA Picanto",2016,"Hatchback","FWD",1.2,4,"manual",90,"petrol",5,22236
"111","BMW","328","BMW 328",2008,"Sedan","RWD",3,6,"tiptronic",225,"cng",5,36972
"112","FORD","Explorer","FORD Explorer",2017,"SUV","FWD",2.3,4,"automatic",172,"petrol",5,37584
"113","HYUNDAI","H1","HYUNDAI H1",2016,"Wagon","FWD",2.5,4,"automatic",188,"diesel",5,31174
"114","HYUNDAI","Elantra","HYUNDAI Elantra",2010,"Sedan","FWD",1.6,4,"automatic",120,"petrol",5,29900
"115","MITSUBISHI","Airtrek","MITSUBISHI Airtrek",2005,"SUV","AWD",2.4,4,"tiptronic",180,"lpg",5,42240
"116","MERCEDES-BENZ","E 500 AMG","MERCEDES-BENZ E 500 AMG",2003,"Sedan","RWD",5,12,"tiptronic",375,"petrol",5,48312
"117","MITSUBISHI","Lancer","MITSUBISHI Lancer",1997,"Sedan","RWD",1.3,4,"manual",98,"petrol",5,31744
"118","HONDA","FIT","HONDA FIT",2003,"Hatchback","FWD",1.5,4,"variator",112,"petrol",5,26352
"119","SSANGYONG","Korando","SSANGYONG Korando",2013,"SUV","FWD",2,4,"automatic",150,"diesel",5,37632
"120","HYUNDAI","Santa FE","HYUNDAI Santa FE",2010,"SUV","FWD",2,4,"automatic",150,"diesel",5,38640
"121","TOYOTA","Camry","TOYOTA Camry",2013,"Sedan","FWD",2.5,4,"tiptronic",188,"hybrid",5,33152
"122","RENAULT","Clio","RENAULT Clio",1995,"Hatchback","FWD",1.2,3,"manual",90,"petrol",5,26520
"123","MAZDA","616","MAZDA 616",2014,"Sedan","FWD",2.5,4,"automatic",188,"petrol",5,32856
"124","TOYOTA","Highlander","TOYOTA Highlander",2009,"Sedan","AWD",3.3,6,"automatic",248,"hybrid",5,38048
"125","FORD","Fusion","FORD Fusion",2015,"Sedan","FWD",2,4,"automatic",150,"petrol",5,30360
"126","TOYOTA","Camry","TOYOTA Camry",2012,"Sedan","FWD",2.5,4,"tiptronic",188,"petrol",5,33448
"127","HYUNDAI","Sonata","HYUNDAI Sonata",2014,"Sedan","FWD",2,4,"automatic",150,"lpg",5,30636
"128","HYUNDAI","Santa FE","HYUNDAI Santa FE",2016,"SUV","FWD",2,4,"automatic",150,"diesel",5,36624
"129","TOYOTA","Camry","TOYOTA Camry",2014,"Sedan","FWD",2.5,4,"automatic",188,"hybrid",5,32856
"130","MERCEDES-BENZ","C 220","MERCEDES-BENZ C 220",1999,"Sedan","RWD",2,4,"manual",150,"diesel",5,32760
"131","HYUNDAI","H1","HYUNDAI H1",2008,"Minivan","FWD",2.5,4,"automatic",188,"diesel",5,39312
"132","NISSAN","Serena","NISSAN Serena",2012,"Minivan","FWD",2,4,"tiptronic",150,"petrol",5,35708
"133","NISSAN","Maxima","NISSAN Maxima",2004,"Sedan","FWD",3.5,6,"automatic",262,"petrol",5,40656
"134","TOYOTA","RAV 4","TOYOTA RAV 4",2008,"SUV","AWD",2.4,4,"automatic",180,"petrol",5,41184
"135","HYUNDAI","H1","HYUNDAI H1",2011,"Minivan","FWD",2.5,4,"automatic",188,"diesel",5,38304
"136","HONDA","Civic","HONDA Civic",2012,"Sedan","FWD",1.5,4,"automatic",112,"hybrid",5,28928
"137","MITSUBISHI","Pajero","MITSUBISHI Pajero",1997,"SUV","AWD",2.4,4,"automatic",180,"petrol",5,45056
"138","LEXUS","GX 460","LEXUS GX 460",2010,"SUV","AWD",4.6,8,"automatic",345,"petrol",5,50600
"139","LEXUS","GX 460","LEXUS GX 460",2015,"SUV","AWD",4.6,8,"automatic",345,"petrol",5,48400
"140","HYUNDAI","Sonata","HYUNDAI Sonata",2013,"Sedan","FWD",2.4,4,"tiptronic",180,"petrol",5,32704
"141","MERCEDES-BENZ","E 300","MERCEDES-BENZ E 300",2017,"Sedan","RWD",2,4,"automatic",150,"petrol",5,29808
"142","HYUNDAI","Sonata","HYUNDAI Sonata",2014,"Sedan","FWD",2,4,"automatic",150,"lpg",5,30636
"143","CHEVROLET","Volt","CHEVROLET Volt",2014,"Hatchback","FWD",1.4,4,"automatic",105,"hybrid",5,23532
"144","GMC","TERRAIN","GMC TERRAIN",2013,"SUV","FWD",2.4,4,"automatic",180,"petrol",5,39424
"145","MERCEDES-BENZ","208","MERCEDES-BENZ 208",1985,"Wagon","RWD",2.5,4,"manual",188,"diesel",5,40040
"146","TOYOTA","Camry","TOYOTA Camry",2018,"Sedan","FWD",2.5,4,"automatic",188,"hybrid",5,31672
"147","HONDA","Hr-v EX","HONDA Hr-v EX",2015,"SUV","AWD",1.8,4,"automatic",135,"petrol",5,36080
"148","FIAT","500","FIAT 500",2011,"Coupe","FWD",1.2,4,"automatic",90,"petrol",4,30096
"149","VOLKSWAGEN","Jetta","VOLKSWAGEN Jetta",2014,"Sedan","FWD",2,4,"automatic",150,"diesel",5,30636
"150","SUBARU","Legacy","SUBARU Legacy",2005,"Sedan","AWD",2,6,"tiptronic",150,"petrol",5,31200
"151","HYUNDAI","Elantra sport limited","HYUNDAI Elantra sport limited",2013,"Sedan","FWD",1.8,4,"tiptronic",135,"petrol",5,30016
"152","HYUNDAI","Sonata","HYUNDAI Sonata",2016,"Sedan","FWD",2,4,"automatic",150,"lpg",5,30084
"153","TOYOTA","Sienna","TOYOTA Sienna",2010,"Minivan","FWD",3.5,6,"tiptronic",262,"petrol",5,43240
"154","TOYOTA","Camry","TOYOTA Camry",2014,"Sedan","FWD",2.5,4,"automatic",188,"hybrid",5,32856
"155","HYUNDAI","H1","HYUNDAI H1",2012,"Wagon","FWD",2.5,4,"automatic",188,"diesel",5,32318
"156","HYUNDAI","Sonata","HYUNDAI Sonata",2016,"Sedan","FWD",2,4,"automatic",150,"lpg",5,30084
"157","CHEVROLET","Volt","CHEVROLET Volt",2012,"SUV","FWD",1.4,4,"automatic",105,"hybrid",5,35256
"158","TOYOTA","Aqua","TOYOTA Aqua",2016,"Hatchback","FWD",1.5,4,"automatic",112,"petrol",5,23544
"159","MERCEDES-BENZ","A 170","MERCEDES-BENZ A 170",2008,"Hatchback","FWD",1.7,4,"automatic",128,"petrol",5,26208
"160","LEXUS","NX 300","LEXUS NX 300",2018,"SUV","FWD",2.5,4,"tiptronic",188,"petrol",5,34240
"161","SSANGYONG","REXTON","SSANGYONG REXTON",2013,"SUV","FWD",2,4,"automatic",150,"diesel",5,37632
"162","TOYOTA","Prius","TOYOTA Prius",2014,"Sedan","AWD",1.8,4,"automatic",135,"hybrid",5,29748
"163","TOYOTA","Tacoma","TOYOTA Tacoma",2018,"Sedan","FWD",3.5,6,"automatic",262,"petrol",5,35952
"164","KIA","Carnival grand","KIA Carnival grand",2009,"Minivan","FWD",2.9,4,"automatic",218,"diesel",5,40832
"165","HYUNDAI","Genesis","HYUNDAI Genesis",2011,"Coupe","FWD",2,4,"automatic",150,"petrol",4,33744
"166","OPEL","Vectra","OPEL Vectra",1997,"Sedan","FWD",1.6,4,"manual",120,"petrol",5,33280
"167","INFINITI","QX60","INFINITI QX60",2015,"SUV","AWD",3.5,6,"automatic",262,"petrol",5,43560
"168","HYUNDAI","Elantra","HYUNDAI Elantra",2012,"Sedan","FWD",1.6,4,"automatic",120,"petrol",5,29380
"169","VOLKSWAGEN","Passat","VOLKSWAGEN Passat",2017,"Sedan","FWD",1.8,6,"tiptronic",135,"petrol",5,28944
"170","MERCEDES-BENZ","E 240 E 240","MERCEDES-BENZ E 240 E 240",1998,"Sedan","RWD",2.4,6,"manual",180,"petrol",5,37084
"171","MAZDA","1000","MAZDA 1000",2019,"SUV","AWD",2,4,"automatic",150,"petrol",5,35616
"172","AUDI","50","AUDI 50",2018,"Coupe","RWD",0.5,1,"tiptronic",38,"petrol",4,25252
"173","HYUNDAI","Santa FE","HYUNDAI Santa FE",2016,"SUV","FWD",2,4,"automatic",150,"diesel",5,36624
"174","MERCEDES-BENZ","C 250","MERCEDES-BENZ C 250",2014,"Sedan","RWD",2,4,"tiptronic",150,"petrol",5,28860
"175","TOYOTA","Camry","TOYOTA Camry",2011,"Sedan","FWD",2.5,4,"variator",188,"hybrid",5,33744
"176","TOYOTA","Vitz funkargo","TOYOTA Vitz funkargo",2003,"Wagon","AWD",1.5,4,"automatic",112,"petrol",5,30012
"177","HYUNDAI","Santa FE","HYUNDAI Santa FE",2016,"SUV","FWD",2,4,"automatic",150,"diesel",5,36624
"178","BMW","325","BMW 325",2001,"Sedan","RWD",2.5,6,"manual",188,"petrol",5,36704
"179","AUDI","A6","AUDI A6",2014,"Sedan","AWD",3,6,"automatic",225,"petrol",5,35076
"180","FORD","Transit","FORD Transit",2011,"Sedan","AWD",2,4,"manual",150,"diesel",5,29640
"181","FIAT","500","FIAT 500",2012,"Hatchback","FWD",1.4,4,"automatic",105,"petrol",5,23956
"182","CHEVROLET","Cruze","CHEVROLET Cruze",2014,"Sedan","FWD",1.4,4,"automatic",105,"petrol",5,27972
"183","OPEL","Vectra","OPEL Vectra",1995,"Sedan","FWD",2,4,"manual",150,"cng",5,35880
"184","MITSUBISHI","Pajero","MITSUBISHI Pajero",1998,"SUV","AWD",2.5,6,"tiptronic",188,"petrol",5,40640
"185","NISSAN","Pathfinder","NISSAN Pathfinder",2010,"SUV","AWD",4,6,"tiptronic",300,"lpg",5,47840
"186","MITSUBISHI","Delica","MITSUBISHI Delica",2005,"Minivan","AWD",3,6,"automatic",225,"petrol",5,42720
"187","MERCEDES-BENZ","E 350","MERCEDES-BENZ E 350",2014,"Sedan","AWD",3.5,6,"automatic",262,"diesel",5,37296
"188","VOLKSWAGEN","Golf","VOLKSWAGEN Golf",1996,"Sedan","FWD",2,4,"manual",150,"cng",5,35604
"189","MERCEDES-BENZ","Vaneo","MERCEDES-BENZ Vaneo",2004,"Wagon","FWD",1.9,4,"tiptronic",142,"lpg",5,31702
"190","TOYOTA","Camry Se","TOYOTA Camry Se",2018,"Sedan","FWD",2.5,4,"tiptronic",188,"petrol",5,31672
"191","VOLKSWAGEN","Jetta","VOLKSWAGEN Jetta",2014,"Wagon","FWD",2,4,"automatic",150,"diesel",5,29526
"192","TOYOTA","Tacoma","TOYOTA Tacoma",2012,"Sedan","RWD",2.7,4,"automatic",202,"petrol",5,34352
"193","MERCEDES-BENZ","E 350","MERCEDES-BENZ E 350",2014,"Sedan","AWD",3.5,6,"automatic",262,"diesel",5,37296
"194","HONDA","Cr-v","HONDA Cr-v",2002,"SUV","AWD",2.4,4,"automatic",180,"petrol",5,43296
"195","NISSAN","Patrol Y60","NISSAN Patrol Y60",1990,"SUV","RWD",2.5,4,"manual",188,"diesel",5,43200
"196","AUDI","A7","AUDI A7",2013,"Hatchback","AWD",3,6,"automatic",225,"petrol",5,30912
"197","HYUNDAI","Sonata","HYUNDAI Sonata",2013,"Sedan","FWD",2.4,4,"automatic",180,"petrol",5,32704
"198","MERCEDES-BENZ","E 350","MERCEDES-BENZ E 350",2013,"Sedan","RWD",3.5,6,"automatic",262,"diesel",5,37632
"199","TOYOTA","Camry","TOYOTA Camry",2014,"Sedan","FWD",2.5,4,"automatic",188,"petrol",5,32856
"200","CHEVROLET","Orlando","CHEVROLET Orlando",2012,"SUV","FWD",2,4,"automatic",150,"lpg",5,37968
"201","TOYOTA","RAV 4","TOYOTA RAV 4",2001,"SUV","AWD",2,4,"automatic",150,"petrol",5,41664
"202","FORD","Explorer","FORD Explorer",2011,"SUV","FWD",3.5,4,"automatic",262,"petrol",5,45144
"203","HYUNDAI","I30","HYUNDAI I30",2008,"Hatchback","FWD",1.6,4,"manual",120,"diesel",5,25740
"204","HYUNDAI","Santa FE","HYUNDAI Santa FE",2015,"SUV","FWD",2,4,"automatic",150,"diesel",5,36960
"205","NISSAN","Altima","NISSAN Altima",1998,"Sedan","FWD",2.4,4,"manual",180,"petrol",5,37084
"206","PORSCHE","Cayenne","PORSCHE Cayenne",2018,"Sedan","AWD",3.6,6,"automatic",270,"petrol",5,36380
"207","ALFA","ROMEO 147","ALFA ROMEO 147",2001,"Coupe","FWD",1.8,4,"manual",135,"petrol",4,35712
"208","SUZUKI","Grand Vitara","SUZUKI Grand Vitara",2008,"SUV","AWD",1.6,4,"automatic",120,"petrol",5,37440
"209","LEXUS","CT 200h","LEXUS CT 200h",2011,"Hatchback","FWD",1.8,4,"automatic",135,"hybrid",5,25992
"210","TOYOTA","Prius","TOYOTA Prius",2007,"Hatchback","FWD",1.5,4,"automatic",112,"hybrid",5,25488
"211","HYUNDAI","Tucson","HYUNDAI Tucson",2014,"SUV","FWD",2,4,"automatic",150,"diesel",5,37296
"212","PORSCHE","Panamera","PORSCHE Panamera",2010,"Hatchback","AWD",4.8,8,"tiptronic",360,"petrol",5,40020
"213","HYUNDAI","Veloster","HYUNDAI Veloster",2015,"Hatchback","FWD",1.6,4,"tiptronic",120,"petrol",5,24200
"214","TOYOTA","RAV 4 XLE Sport","TOYOTA RAV 4 XLE Sport",2013,"SUV","FWD",2.5,4,"tiptronic",188,"petrol",5,39872
"215","HONDA","FIT","HONDA FIT",2002,"Hatchback","FWD",1.5,4,"automatic",112,"petrol",5,26568
"216","TOYOTA","Aqua","TOYOTA Aqua",2014,"Hatchback","FWD",1.5,4,"variator",112,"hybrid",5,23976
"217","TOYOTA","Sienta","TOYOTA Sienta",2004,"Sedan","FWD",1.5,4,"variator",112,"petrol",5,30976
"218","TOYOTA","Prius","TOYOTA Prius",2009,"Sedan","FWD",1.8,4,"variator",135,"hybrid",5,31088
"219","HONDA","FIT","HONDA FIT",2013,"Hatchback","FWD",1.3,4,"automatic",98,"petrol",5,23296
"220","MERCEDES-BENZ","CLS 550","MERCEDES-BENZ CLS 550",2010,"Sedan","FWD",5.5,4,"automatic",412,"petrol",5,47840
"221","HONDA","FIT","HONDA FIT",2012,"Hatchback","FWD",1.3,4,"variator",98,"hybrid",5,23504
"222","HYUNDAI","Elantra","HYUNDAI Elantra",2011,"Sedan","FWD",1.8,4,"tiptronic",135,"petrol",5,30552
"223","VOLKSWAGEN","Passat","VOLKSWAGEN Passat",2013,"Sedan","FWD",2,4,"tiptronic",150,"diesel",5,29120
"224","CHEVROLET","Avalanche","CHEVROLET Avalanche",2011,"Sedan","FWD",5.3,8,"automatic",398,"petrol",5,46512
